#OTU	S0701	S0702	S0703	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU322	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
OTU934	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU221	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU503	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU159	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU349	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU537	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU1091	114	197	268	15	25	53	69	23	30	19	24	18	16	6	40	21	8	5	16	2	37	74	51	7	13	22	14	37	13	16
OTU1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU723	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
OTU1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU1281	2	3	3	3	3	1	2	2	5	5	6	5	3	2	1	1	4	3	1	0	1	6	1	2	6	0	2	2	3	2
OTU1283	3	2	7	12	9	20	41	16	11	17	22	23	10	12	12	22	25	22	34	5	16	22	17	4	9	3	10	8	0	7
OTU1251	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
OTU136	8	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
OTU766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU572	1	0	0	0	8	0	0	0	0	4	13	16	6	0	0	0	3	2	0	0	4	7	11	2	21	3	16	12	5	32
OTU864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU511	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU507	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	4	0	0
OTU504	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
OTU1279	8	9	11	6	5	11	21	5	10	2	1	10	5	6	15	6	17	12	22	5	22	65	32	2	5	15	2	18	3	14
OTU1012	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	2	2	1	0	2	1	2	0	0
OTU1107	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU513	1	5	2	0	0	3	2	1	1	6	16	13	3	6	5	6	2	5	7	1	5	4	0	0	3	1	1	1	0	0
OTU273	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU21	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
OTU857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU862	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1060	1	1	1	0	3	1	6	1	4	12	3	0	1	1	3	0	1	2	31	1	5	7	5	1	1	0	6	9	0	0
OTU1434	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	5	3	5	2	2	1	2	0	4
OTU755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
OTU1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU430	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU134	6	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU758	10	1	3	0	0	1	0	0	0	3	2	0	1	1	0	1	1	0	1	0	1	1	2	0	4	2	0	1	0	0
OTU1195	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU531	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1249	0	2	0	0	2	1	4	0	0	6	1	1	1	2	0	2	2	12	2	0	3	4	9	1	7	7	5	9	5	9
OTU156	26	87	92	9	10	1	6	4	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU1092	0	0	0	0	1	0	0	0	0	1	0	3	0	0	1	1	1	1	0	0	0	3	1	0	3	0	0	1	0	1
OTU514	0	9	4	0	1	3	8	3	8	4	6	3	1	1	3	2	9	6	10	6	0	4	4	2	15	0	3	5	4	12
OTU416	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU705	825	930	578	591	652	617	412	532	860	675	733	891	539	1197	806	579	494	1044	847	656	1056	1147	482	1386	637	2105	805	902	218	946
OTU629	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	1	0
OTU725	0	0	0	0	3	0	0	0	0	2	1	0	0	0	2	1	3	1	0	0	0	0	0	0	1	2	0	0	0	0
OTU1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU839	2	3	6	0	1	0	1	1	2	4	2	0	1	1	0	2	1	2	11	15	0	1	1	0	0	5	2	1	0	0
OTU293	2	0	2	3	0	3	0	4	3	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU639	4	12	20	33	21	39	39	29	33	13	20	28	26	18	24	9	22	11	19	9	14	5	8	18	8	14	17	7	25	6
OTU529	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU57	8	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0
OTU396	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU454	7	6	7	7	7	4	14	4	11	7	11	28	13	1	0	10	7	20	2	16	11	14	3	3	2	7	1	5	151	3
OTU1224	0	0	0	2	13	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	2	0	0	5	0	9	1	16
OTU1178	6	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	13	0	0	0	0	3	0	0	1	0	0	2	1	1
OTU1381	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	23	0
OTU123	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1306	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
OTU219	21	5	10	11	13	28	19	30	16	10	7	17	17	18	10	27	9	22	37	11	20	10	13	9	8	18	27	14	17	11
