	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU100	453	542	655	726	954	734	574	1035	499	839	478	626	1612	990	646	894	470	955	868	886	594	1126	463	421	466	631	385	240	593	508	654	849
OTU1000	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU1001	0	0	0	1	12	8	6	15	18	5	0	5	3	18	73	36	11	47	11	20	132	8	12	0	1	0	0	9	0	104	8	14
OTU1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	0
OTU1003	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1004	0	2	1	0	0	1	3	1	3	2	3	0	1	0	2	0	5	1	0	1	0	0	6	0	9	3	0	1	0	1	0	3
OTU1005	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1007	1	0	1	0	0	0	8	0	8	0	1	0	0	1	0	0	8	4	3	1	0	0	1	0	0	1	6	2	2	1	7	7
OTU101	0	0	0	1	0	0	0	8	0	0	0	12	0	0	117	0	2	0	6	4	12	3	0	3	0	1	1	3	0	2	1	1
OTU1010	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU1011	0	1	1	1	2	0	0	0	0	2	8	0	0	0	0	2	1	1	1	0	2	0	0	1	2	0	0	4	2	0	1	0
OTU1012	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1013	2	3	0	0	1	2	0	2	1	0	1	0	1	1	1	1	1	4	4	2	1	1	1	3	3	0	2	5	3	6	7	3
OTU1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
OTU1015	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1016	2	3	0	0	21	29	13	5	4	59	30	17	50	9	4	6	0	9	2	19	2	1	2	1	8	1	4	8	24	4	2	3
OTU1017	0	0	2	0	0	0	0	1	2	1	0	1	0	0	2	1	3	7	1	5	1	1	1	1	1	1	1	8	3	4	1	2
OTU1018	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	1	1	0	1	0	1	3	2	0	0	0
OTU1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU102	0	0	3	41	6	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1020	1	10	5	11	20	19	10	13	8	4	1	3	3	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1021	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1022	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1
OTU1024	0	0	0	0	50	60	24	45	37	34	50	57	38	8	2	0	4	2	22	49	6	2	5	6	43	1	2	10	0	1	4	0
OTU1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1027	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1028	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU103	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	4	0	2	11	1	2	0	3	1
OTU1030	0	0	0	0	0	2	0	0	0	0	0	0	0	0	37	58	8	4	4	0	1	0	0	0	0	0	1	0	1	0	0	0
OTU1031	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0
OTU1033	0	1	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU1034	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1035	1	2	6	3	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1037	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1039	11	10	9	8	4	3	2	3	4	4	0	3	0	1	4	2	0	6	3	2	2	0	1	6	5	8	11	15	11	15	22	12
OTU104	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	2	6	0	0	0	0	0	0	0	0	0
OTU1044	39	31	41	78	37	31	30	60	56	33	64	30	45	43	29	41	18	66	24	20	23	59	33	32	11	22	29	21	35	108	41	86
OTU1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1048	0	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1050	0	0	0	1	12	15	9	51	40	69	9	17	59	9	67	11	41	17	46	21	14	0	86	79	80	114	126	57	97	77	149	134
OTU1052	1	4	0	4	11	18	7	11	9	8	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	5	2	0
OTU1053	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0
OTU1054	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	3
OTU1055	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
OTU1056	6	7	7	4	1	0	0	3	2	2	5	6	1	10	1	0	2	2	0	0	2	0	0	0	2	1	2	3	1	1	0	0
OTU1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1058	219	175	147	177	189	264	237	283	212	209	334	239	490	412	333	291	137	289	208	210	324	896	176	366	224	160	228	93	135	266	338	408
OTU106	0	0	0	2	0	0	0	3	0	1	3	9	10	0	3	0	1	1	0	1	1	1	0	0	1	0	0	0	0	2	1	7
OTU1060	0	0	0	0	2	1	0	1	1	1	2	1	9	1	7	2	0	0	2	1	5	0	0	0	2	1	2	1	1	4	5	5
OTU1061	0	3	0	0	0	0	0	3	0	0	0	0	7	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0
OTU1062	3	2	4	6	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
