sample	group
D0	C0
D1_C1	C
D1_C2	C
D1_C3	C
D1_G1_1	G1
D1_G1_2	G1
D1_G1_3	G1
D1_G2_1	G2
D1_G2_2	G2
D1_G2_3	G2
D1_G3_1	G3
D1_G3_2	G3
D1_G3_3	G3
D1_G4_1	G4
D1_G4_2	G4
D1_G4_3	G4
D2_C1	C
D2_C2	C
D2_C3	C
D2_G1_1	G1
D2_G1_2	G1
D2_G1_3	G1
D2_G2_1	G2
D2_G2_2	G2
D2_G2_3	G2
D2_G3_1	G3
D2_G3_2	G3
D2_G3_3	G3
D2_G4_1	G4
D2_G4_2	G4
D2_G4_3	G4
D3_C1	C
D3_C2	C
D3_C3	C
D3_G1_1	G1
D3_G1_2	G1
D3_G1_3	G1
D3_G2_1	G2
D3_G2_2	G2
D3_G2_3	G2
D3_G3_1	G3
D3_G3_2	G3
D3_G3_3	G3
D3_G4_1	G4
D3_G4_2	G4
D3_G4_3	G4
D4_C1	C
D4_C2	C
D4_C3	C
D4_G1_1	G1
D4_G1_2	G1
D4_G1_3	G1
D4_G2_1	G2
D4_G2_2	G2
D4_G2_3	G2
D4_G3_1	G3
D4_G3_2	G3
D4_G3_3	G3
D4_G4_1	G4
D4_G4_2	G4
D4_G4_3	G4
D5_C1	C
D5_C2	C
D5_C3	C
D5_G1_1	G1
D5_G1_2	G1
D5_G1_3	G1
D5_G2_1	G2
D5_G2_2	G2
D5_G2_3	G2
D5_G3_1	G3
D5_G3_2	G3
D5_G3_3	G3
D5_G4_1	G4
D5_G4_2	G4
D5_G4_3	G4
D6_C1	C
D6_C2	C
D6_G1_1	G1
D6_G1_2	G1
D6_G1_3	G1
D6_G2_1	G2
D6_G2_2	G2
D6_G2_3	G2
D6_G3_1	G3
D6_G3_2	G3
D6_G3_3	G3
D6_G4_1	G4
D6_G4_2	G4
D6_G4_3	G4
D7_C1	C
D7_C2	C
D7_C3	C
D7_G1_1	G1
D7_G1_2	G1
D7_G1_3	G1
D7_G2_1	G2
D7_G2_2	G2
D7_G2_3	G2
D7_G3_1	G3
D7_G3_2	G3
D7_G3_3	G3
D7_G4_1	G4
D7_G4_2	G4
D7_G4_3	G4
D8_C1	C
D8_C2	C
D8_C3	C
D8_G1_1	G1
D8_G1_2	G1
D8_G1_3	G1
D8_G2_1	G2
D8_G2_2	G2
D8_G2_3	G2
D8_G3_1	G3
D8_G3_2	G3
D8_G3_3	G3
D8_G4_1	G4
D8_G4_2	G4
D8_G4_3	G4
D9_C1	C
D9_C2	C
D9_C3	C
D9_G1_1	G1
D9_G1_2	G1
D9_G1_3	G1
D9_G2_1	G2
D9_G2_2	G2
D9_G2_3	G2
D9_G3_1	G3
D9_G3_2	G3
D9_G3_3	G3
D9_G4_1	G4
D9_G4_2	G4
D9_G4_3	G4
D10_C1	C
D10_C2	C
D10_C3	C
D10_G1_1	G1
D10_G1_2	G1
D10_G1_3	G1
D10_G2_1	G2
D10_G2_2	G2
D10_G2_3	G2
D10_G3_1	G3
D10_G3_2	G3
D10_G3_3	G3
D10_G4_1	G4
D10_G4_2	G4
D10_G4_3	G4
D11_C1	C
D11_C2	C
D11_C3	C
D11_G1_1	G1
D11_G1_2	G1
D11_G1_3	G1
D11_G2_1	G2
D11_G2_2	G2
D11_G2_3	G2
D11_G3_1	G3
D11_G3_2	G3
D11_G3_3	G3
D11_G4_1	G4
D11_G4_2	G4
D11_G4_3	G4
D12_C1	C
D12_C2	C
D12_C3	C
D12_G1_1	G1
D12_G1_2	G1
D12_G1_3	G1
D12_G2_1	G2
D12_G2_2	G2
D12_G2_3	G2
D12_G3_1	G3
D12_G3_2	G3
D12_G3_3	G3
D12_G4_1	G4
D12_G4_2	G4
D12_G4_3	G4
D13_C1	C
D13_C2	C
D13_C3	C
D13_G1_1	G1
D13_G1_2	G1
D13_G1_3	G1
D13_G2_1	G2
D13_G2_2	G2
D13_G2_3	G2
D13_G3_1	G3
D13_G3_2	G3
D13_G3_3	G3
D13_G4_1	G4
D13_G4_2	G4
D13_G4_3	G4
