sample	node_number	network_edge_number	Average degree	Clustering_Coefficient	Average_path_length	network_diameter	Positive_connection	Negative_connection	Global_efficiency	EM-PM	EM-PM_Positive	EM-PM_Negative	Temp	Sal	PO4	SiO3	NO2	NO3	NH4	Velocity 	SSTA
S0701	353	1942	11.08498584	0.277329568	3.075859516	7	0.539649846	0.460350154	0.367431	0.496395469	0.260556128	0.235839341	22.149	34.636	0.174927114	2.9	0.214285714	0.253340185	0.649995177	0.59	-3.1
S0702	354	1932	11.02259887	0.275358417	3.07775882	7	0.535714286	0.464285714	0.3649905	0.499482402	0.262939959	0.236542443	23.073	34.709	0.116618076	2.3	0.195488722	0.272137177	0.273788793	0.83	-2.1
S0703	354	1905	10.94915254	0.270076339	3.076855364	7	0.532808399	0.467191601	0.3668756	0.495538058	0.258792651	0.236745407	23.042	34.722	0.145772595	2.1	0.101503759	0.195258831	0.78978591	1.29	-0.7
S0705	505	2459	10.54455446	0.333806147	3.894432452	9	0.595770638	0.404229362	0.2856945	0.425782839	0.210654738	0.215128101	24.108	34.699	0.160818713	1.7	0.056818182	0.678637362	0.338185194	0.22	0.2
S0706	522	2540	10.36015326	0.339307649	3.954577546	9	0.593307087	0.406692913	0.2801963	0.42480315	0.214566929	0.21023622	23.554	34.565	0.087719298	1.9	0.049242424	0.12638875	0.561831175	0.29	0.2
S0707	525	2595	10.42095238	0.341523645	3.916816557	9	0.602697495	0.397302505	0.2844718	0.431599229	0.225818882	0.205780347	25.471	34.939	0.043859649	1.4	0.026515152	0.105208229	0.321222863	0.15	0.4
S0708	514	2618	10.68287938	0.343620086	3.858031402	9	0.586325439	0.413674561	0.2915238	0.425515661	0.214667685	0.210847976	24.75	34.818	0.087719298	1.6	0.037878788	0.379245252	0.222080699	0.05	0.4
S0709	513	2604	10.68810916	0.338682038	3.863056477	9	0.59562212	0.40437788	0.2906208	0.429723502	0.220046083	0.209677419	25.729	34.956	0.045112782	1.4	0.034090909	0.459871769	0.195483703	0.12	0.5
S0710	514	2612	10.6770428	0.343615977	3.849099472	10	0.581929556	0.418070444	0.2882498	0.426875957	0.218223583	0.208652374	25.45	34.626	0.060150376	1.35	0.041666667	0.177872302	0.41410646	0.1	0.2
S0711	515	2385	10.16116505	0.327462311	3.943789622	9	0.570649895	0.429350105	0.2820387	0.420545073	0.202515723	0.21802935	21.963	34.906	0.135338346	1.25	0.022865854	0.508587509	0.473903129	0.12	0
