	Name	within_module_connectivities	among_module_connectivities	modularity	type
1	EOTU100	9.156651371	0.36290931	1	Module hubs
2	EOTU1093	-0.56430679	1	1	Connectors
3	EOTU1101	-0.52929397	0.6875	5	Connectors
4	EOTU1109	-0.476730591	0.75	1	Connectors
5	EOTU1122	-0.56430679	1	1	Connectors
6	EOTU1164	-0.976253322	0.75	5	Connectors
7	EOTU1185	-0.476730591	0.75	1	Connectors
8	EOTU1214	-0.449615105	1	2	Connectors
9	EOTU1237	-0.56430679	0.75	1	Connectors
10	EOTU1271	-0.476730591	0.75	1	Connectors
11	EOTU1342	-0.56430679	1	1	Connectors
12	EOTU1356	-0.449615105	1	2	Connectors
13	EOTU1361	0.031007938	0.8125	2	Connectors
14	EOTU1396	-0.476730591	0.75	1	Connectors
15	EOTU1409	-0.56430679	1	1	Connectors
16	EOTU1419	-0.976253322	1	5	Connectors
17	EOTU1424	-0.449615105	0.777777778	2	Connectors
18	EOTU1449	-0.476730591	0.75	1	Connectors
19	EOTU146	-0.476730591	0.75	1	Connectors
20	EOTU1564	-0.449615105	1	2	Connectors
21	EOTU1595	-1.673650194	0.75	4	Connectors
22	EOTU1647	-0.449615105	0.75	2	Connectors
23	EOTU1734	-1.673650194	0.75	4	Connectors
24	EOTU1736	2.579421098	0.056326531	3	Module hubs
25	EOTU1754	-0.56430679	1	1	Connectors
26	EOTU1781	-0.52929397	0.68	5	Connectors
27	EOTU1792	-0.56430679	1	1	Connectors
28	EOTU1867	-0.449615105	1	2	Connectors
29	EOTU1878	-0.449615105	1	2	Connectors
30	EOTU1927	-1.347078234	0.75	3	Connectors
31	EOTU1931	-0.56430679	1	1	Connectors
32	EOTU1957	-0.56430679	1	1	Connectors
33	EOTU2020	-0.56430679	1	1	Connectors
34	EOTU2023	-1.673650194	0.75	4	Connectors
35	EOTU2034	-0.56430679	1	1	Connectors
36	EOTU2043	-0.976253322	0.75	5	Connectors
37	EOTU206	-0.449615105	0.638888889	2	Connectors
38	EOTU207	-0.476730591	0.75	1	Connectors
39	EOTU2084	-1.158680904	0.671875	4	Connectors
40	EOTU2159	-1.416165549	0.6875	4	Connectors
41	EOTU2161	-0.56430679	1	1	Connectors
42	EOTU2195	-0.56430679	1	1	Connectors
43	EOTU2211	-0.976253322	0.75	5	Connectors
44	EOTU2284	-0.976253322	1	5	Connectors
45	EOTU2326	-1.466063062	1	3	Connectors
46	EOTU2331	-0.476730591	0.75	1	Connectors
47	EOTU323	-0.449615105	0.75	2	Connectors
48	EOTU324	-0.56430679	1	1	Connectors
49	EOTU399	-0.56430679	1	1	Connectors
50	EOTU42	-0.449615105	1	2	Connectors
51	EOTU420	-1.029938581	0.62962963	4	Connectors
52	EOTU479	-1.347078234	0.75	3	Connectors
53	EOTU525	-1.466063062	1	3	Connectors
54	EOTU55	-0.56430679	1	1	Connectors
55	EOTU596	-0.476730591	0.75	1	Connectors
56	EOTU605	-0.752773646	0.75	5	Connectors
57	EOTU609	-0.449615105	1	2	Connectors
