	Name	within_module_connectivities	among_module_connectivities	modularity	type
1	EOTU100	-0.277537434	0.777777778	7	Connectors
2	EOTU1024	0.209083349	0.75	5	Connectors
3	EOTU1039	-0.945846265	1	2	Connectors
4	EOTU1044	-0.9096753	1	1	Connectors
5	EOTU1052	0.081597916	0.667091837	2	Connectors
6	EOTU106	-1.00384402	1	3	Connectors
7	EOTU1068	-0.603364871	0.6875	2	Connectors
8	EOTU1102	-0.9096753	1	1	Connectors
9	EOTU1107	0.209083349	0.6875	5	Connectors
10	EOTU1111	-1.232151421	1	4	Connectors
11	EOTU1135	-0.9096753	0.75	1	Connectors
12	EOTU1147	-1.232151421	1	4	Connectors
13	EOTU1159	-0.418166699	0.75	5	Connectors
14	EOTU1167	0.013187323	0.76	6	Connectors
15	EOTU1172	-0.611363651	0.795918367	3	Connectors
16	EOTU1184	-1.149271281	0.777777778	4	Connectors
17	EOTU1187	-0.945846265	1	2	Connectors
18	EOTU1199	-0.218883283	0.703703704	3	Connectors
19	EOTU1205	-0.611363651	0.6875	3	Connectors
20	EOTU1231	-0.945846265	1	2	Connectors
21	EOTU1237	-1.149271281	0.75	4	Connectors
22	EOTU1253	-0.277537434	0.6875	7	Connectors
23	EOTU1271	0.209083349	0.6875	5	Connectors
24	EOTU129	-0.277537434	0.8125	7	Connectors
25	EOTU1294	-0.670820393	0.75	11	Connectors
26	EOTU1296	-0.816496581	0.777777778	9	Connectors
27	EOTU1297	-0.857175981	1	6	Connectors
28	EOTU131	-0.807603836	0.8125	3	Connectors
29	EOTU1322	-0.218883283	0.632653061	3	Connectors
30	EOTU1323	-0.611363651	0.76	3	Connectors
31	EOTU1351	-0.9096753	1	1	Connectors
32	EOTU1356	-0.945846265	1	2	Connectors
33	EOTU1421	0.448368975	0.714285714	6	Connectors
34	EOTU1427	-0.418166699	0.75	5	Connectors
35	EOTU1443	-0.945846265	1	2	Connectors
36	EOTU1445	-0.945846265	1	2	Connectors
37	EOTU1461	-0.218883283	0.631944444	3	Connectors
38	EOTU1475	-0.415123467	0.703125	3	Connectors
39	EOTU1481	-0.260883478	0.632653061	2	Connectors
40	EOTU1490	-0.774605568	0.75	2	Connectors
41	EOTU1491	-0.611363651	0.68	3	Connectors
42	EOTU1503	-1.00384402	0.75	3	Connectors
43	EOTU1505	-1.232151421	1	4	Connectors
44	EOTU1518	-0.611363651	0.62962963	3	Connectors
45	EOTU153	-1.00384402	1	3	Connectors
46	EOTU156	3.335171156	0.141289438	2	Module hubs
47	EOTU1566	-0.774605568	0.8125	2	Connectors
48	EOTU1568	-0.418166699	0.777777778	5	Connectors
49	EOTU1575	-1.045416747	1	5	Connectors
50	EOTU1594	-0.277537434	0.75	7	Connectors
51	EOTU1595	1.743518561	0.644375	3	Connectors
52	EOTU1605	0	1	16	Connectors
53	EOTU163	-0.945846265	1	2	Connectors
54	EOTU1634	-0.415123467	0.714285714	3	Connectors
55	EOTU1640	-0.218883283	0.671875	3	Connectors
56	EOTU1649	1.547278377	0.652006173	3	Connectors
57	EOTU1650	0.595320006	0.696280992	2	Connectors
58	EOTU1662	-1.045416747	1	5	Connectors
59	EOTU1666	-0.857175981	0.75	6	Connectors
60	EOTU1684	-1.045416747	1	5	Connectors
61	EOTU171	-1.045416747	0.75	5	Connectors
62	EOTU1717	-0.807603836	0.777777778	3	Connectors
63	EOTU1724	-0.611363651	0.71	3	Connectors
64	EOTU1736	-1.045416747	0.777777778	5	Connectors
65	EOTU1746	-1.06639114	0.68	4	Connectors
66	EOTU1747	-0.577350269	0.75	13	Connectors
67	EOTU1756	0.595320006	0.6704	2	Connectors
68	EOTU1767	-0.115016561	0.6875	10	Connectors
69	EOTU1770	-0.651990438	0.7125	4	Connectors
70	EOTU1790	-0.945846265	1	2	Connectors
71	EOTU182	-0.945846265	0.75	2	Connectors
72	EOTU1824	0	1	16	Connectors
73	EOTU1825	-0.857175981	1	6	Connectors
74	EOTU184	2.994735741	0.329805996	4	Module hubs
75	EOTU1850	-0.945846265	1	2	Connectors
