	Name	within_module_connectivities	among_module_connectivities	modularity	type
1	EOTU1016	1.154700538	0.75	6	Connectors
2	EOTU1017	-1.22579275	1	1	Connectors
3	EOTU1086	-1.175814353	0.679012346	2	Connectors
4	EOTU1107	0.740826996	0.65234375	1	Connectors
5	EOTU1111	-0.488310345	0.638888889	1	Connectors
6	EOTU1136	-0.488310345	0.632653061	1	Connectors
7	EOTU1154	-0.734137814	0.734375	1	Connectors
8	EOTU1162	-1.313661355	0.75	2	Connectors
9	EOTU1185	-0.734137814	0.714285714	1	Connectors
10	EOTU1190	0.003344591	0.67	1	Connectors
11	EOTU1208	-0.96904385	0.647959184	2	Connectors
12	EOTU1213	-1.22579275	1	1	Connectors
13	EOTU1222	-1.22579275	1	1	Connectors
14	EOTU1250	-0.979965282	0.777777778	1	Connectors
15	EOTU1281	-0.488310345	0.734375	1	Connectors
16	EOTU1285	0.24917206	0.668367347	1	Connectors
17	EOTU1294	-0.785055725	0.647058824	3	Connectors
18	EOTU132	-0.831196848	0.62890625	2	Connectors
19	EOTU1351	-0.979965282	0.8125	1	Connectors
20	EOTU1356	0.494999528	0.647959184	1	Connectors
21	EOTU1363	-0.242482877	0.632653061	1	Connectors
22	EOTU137	2.355872556	0.75390625	4	Connectors
23	EOTU1396	-0.488310345	0.71	1	Connectors
24	EOTU1410	-0.979965282	0.777777778	1	Connectors
25	EOTU1413	2.792830921	0.021857264	3	Module hubs
26	EOTU1424	0.494999528	0.647058824	1	Connectors
27	EOTU1432	-1.175814353	0.632653061	2	Connectors
28	EOTU1470	-0.96904385	0.688581315	2	Connectors
29	EOTU1477	-0.734137814	0.6875	1	Connectors
30	EOTU1523	0.368105087	0.703703704	4	Connectors
31	EOTU1539	-0.979965282	0.6875	1	Connectors
32	EOTU1566	-1.451508357	1	2	Connectors
33	EOTU1594	-0.961741486	0.65	3	Connectors
34	EOTU1604	-1.182598686	1	3	Connectors
35	EOTU1662	-1.22579275	0.75	1	Connectors
36	EOTU1667	-1.22579275	0.68	1	Connectors
37	EOTU1685	0.24917206	0.6375	1	Connectors
38	EOTU1689	-0.488310345	0.632653061	1	Connectors
39	EOTU1744	-1.22579275	0.777777778	1	Connectors
40	EOTU1771	-0.242482877	0.671875	1	Connectors
41	EOTU1777	-1.106890852	0.685950413	2	Connectors
42	EOTU1813	-0.979965282	0.777777778	1	Connectors
43	EOTU1814	-1.138427246	0.777777778	3	Connectors
44	EOTU184	1.232481933	0.67950052	1	Connectors
45	EOTU1843	-0.488310345	0.65	1	Connectors
