	Name	within_module_connectivities	among_module_connectivities	modularity	type
1	EOTU1013	-0.963390579	0.75	3	Connectors
2	EOTU1016	-1.08039438	1	1	Connectors
3	EOTU1024	0	0.6875	6	Connectors
4	EOTU108	3.116420151	0.60661157	1	Module hubs
5	EOTU1093	-0.704664152	0.698979592	2	Connectors
6	EOTU111	-0.947514249	0.777777778	4	Connectors
7	EOTU1123	-0.210558722	0.8125	4	Connectors
8	EOTU1154	-0.210558722	0.75	4	Connectors
9	EOTU1157	0	0.777777778	6	Connectors
10	EOTU1162	-1.08039438	1	1	Connectors
11	EOTU1171	2.666127417	0.246078962	3	Module hubs
12	EOTU1198	-0.945013266	0.75	1	Connectors
13	EOTU1202	-0.773042673	0.71	2	Connectors
14	EOTU1203	-1.046556759	1	2	Connectors
15	EOTU1208	-1.08039438	0.75	1	Connectors
16	EOTU1231	-0.945013266	0.75	1	Connectors
17	EOTU1237	-0.809632152	0.68	1	Connectors
18	EOTU1252	-0.866025404	0.75	6	Connectors
19	EOTU1254	-0.978178238	0.6875	2	Connectors
20	EOTU1271	-1	0.75	9	Connectors
21	EOTU129	-1.064210524	1	3	Connectors
22	EOTU1294	-0.556449589	0.75	5	Connectors
23	EOTU1319	3.657944607	0.104455807	1	Module hubs
24	EOTU1356	-0.210558722	0.8125	4	Connectors
25	EOTU1361	-0.674251038	0.703125	1	Connectors
26	EOTU1371	-0.761750691	0.719008264	3	Connectors
27	EOTU1378	-1.064210524	0.75	3	Connectors
28	EOTU1387	-0.210558722	0.75	4	Connectors
29	EOTU1399	-0.945013266	0.75	1	Connectors
30	EOTU1409	0.448088642	0.66349481	3	Connectors
31	EOTU1413	3.657944607	0.104455807	1	Module hubs
32	EOTU1432	-0.978178238	0.75	2	Connectors
33	EOTU1440	-0.132726582	0.669753086	1	Connectors
34	EOTU1447	-0.947514249	0.75	4	Connectors
35	EOTU1461	-0.866025404	1	6	Connectors
36	EOTU1475	-0.947514249	1	4	Connectors
37	EOTU1519	-0.556449589	0.75	5	Connectors
38	EOTU1546	-1.08039438	1	1	Connectors
39	EOTU1564	-0.037939745	0.714285714	5	Connectors
40	EOTU1566	-0.210558722	0.75	4	Connectors
41	EOTU1569	-0.761750691	0.632653061	3	Connectors
42	EOTU1588	0	1	11	Connectors
43	EOTU1591	-0.761750691	0.632653061	3	Connectors
44	EOTU1594	0.866025404	0.6875	6	Connectors
45	EOTU1640	1.254648196	0.659308621	3	Connectors
46	EOTU1650	-0.909799716	0.6875	2	Connectors
47	EOTU1667	-0.945013266	0.75	1	Connectors
48	EOTU1684	-0.577350269	1	12	Connectors
49	EOTU1685	-0.257650969	0.700831025	3	Connectors
50	EOTU1690	-1.08039438	1	1	Connectors
51	EOTU1717	-0.358470913	0.653333333	3	Connectors
52	EOTU1747	1.517589789	0.67	5	Connectors
53	EOTU1754	-0.963390579	0.777777778	3	Connectors
54	EOTU176	-1	1	9	Connectors
55	EOTU1768	-1.08039438	1	1	Connectors
56	EOTU177	-0.704664152	0.752066116	2	Connectors
57	EOTU1777	1.517589789	0.62962963	5	Connectors
58	EOTU1792	0.4805701	0.714285714	5	Connectors
59	EOTU1799	-1.074959434	1	5	Connectors
60	EOTU180	0.273416759	0.730867347	1	Connectors
61	EOTU1809	-0.945013266	0.75	1	Connectors
62	EOTU1813	0.4805701	0.694444444	5	Connectors
63	EOTU1824	-1.074959434	0.75	5	Connectors
64	EOTU1825	-1.08039438	0.75	1	Connectors
65	EOTU1843	-1.08039438	1	1	Connectors
66	EOTU1850	-0.963390579	0.75	3	Connectors
67	EOTU1851	-0.947514249	1	4	Connectors
68	EOTU1857	-0.963390579	0.75	3	Connectors
69	EOTU1864	-0.809632152	0.6875	1	Connectors
70	EOTU1867	2.554609479	0.633136095	5	Network hubs
71	EOTU1904	-0.577350269	1	12	Connectors
72	EOTU1921	-1.046556759	1	2	Connectors
73	EOTU193	0	1	15	Connectors
74	EOTU1932	3.116420151	0.165224913	1	Module hubs
75	EOTU1939	-0.806225775	0.6875	7	Connectors
76	EOTU1948	-1.08039438	1	1	Connectors
77	EOTU1957	0	0.76	11	Connectors
78	EOTU1970	0.544178987	0.6352	1	Connectors
79	EOTU1986	-0.556449589	0.75	5	Connectors
80	EOTU2003	-1.046556759	1	2	Connectors
81	EOTU2019	-1.074959434	0.75	5	Connectors
82	EOTU2020	-0.978178238	0.75	2	Connectors
83	EOTU2033	2.71027681	0.446875	1	Module hubs
84	EOTU2034	-1.08039438	1	1	Connectors
85	EOTU2067	-0.978178238	0.777777778	2	Connectors
86	EOTU207	0.814941215	0.627929688	1	Connectors
87	EOTU2109	-1.074959434	1	5	Connectors
88	EOTU2117	-0.268107696	0.631944444	1	Connectors
89	EOTU2126	-0.963390579	0.84	3	Connectors
90	EOTU2135	-0.945013266	0.75	1	Connectors
91	EOTU2142	-1.046556759	1	2	Connectors
92	EOTU2173	-1.074959434	1	5	Connectors
93	EOTU2176	-0.268107696	0.636363636	1	Connectors
94	EOTU220	0	0.75	6	Connectors
95	EOTU2226	-0.945013266	0.75	1	Connectors
96	EOTU2228	-0.947514249	0.75	4	Connectors
97	EOTU2229	-0.556449589	0.777777778	5	Connectors
98	EOTU2233	-1.074959434	0.75	5	Connectors
99	EOTU2246	-1.074959434	1	5	Connectors
100	EOTU2261	-0.806225775	1	7	Connectors
101	EOTU2264	-0.866025404	1	6	Connectors
102	EOTU2275	-1.08039438	1	1	Connectors
103	EOTU2283	-1.08039438	1	1	Connectors
104	EOTU2313	0.4805701	0.632653061	5	Connectors
105	EOTU2326	-0.945013266	0.75	1	Connectors
106	EOTU2331	3.116420151	0.061523438	1	Module hubs
107	EOTU2332	-1.064210524	0.75	3	Connectors
108	EOTU248	0	0.777777778	13	Connectors
109	EOTU261	-1.08039438	1	1	Connectors
110	EOTU262	-1.064210524	1	3	Connectors
111	EOTU319	-0.660930746	0.74609375	3	Connectors
112	EOTU321	2.574895696	0.070153061	1	Module hubs
113	EOTU324	-0.862570635	0.6875	3	Connectors
114	EOTU336	-0.761750691	0.638888889	3	Connectors
115	EOTU34	-0.947514249	0.75	4	Connectors
116	EOTU359	0.999079945	0.703703704	5	Connectors
117	EOTU36	-0.945013266	0.75	1	Connectors
118	EOTU38	-1.08039438	1	1	Connectors
119	EOTU4	-1.046556759	1	2	Connectors
120	EOTU411	-0.05601108	0.650826446	3	Connectors
121	EOTU426	-0.945013266	0.75	1	Connectors
122	EOTU437	-0.862570635	0.68	3	Connectors
123	EOTU439	-1.08039438	1	1	Connectors
124	EOTU442	-1.074959434	1	5	Connectors
125	EOTU446	-1.064210524	1	3	Connectors
126	EOTU461	-0.567907109	0.75617284	2	Connectors
127	EOTU473	-0.947514249	1	4	Connectors
128	EOTU493	-0.809632152	0.76	1	Connectors
129	EOTU5	-0.806225775	1	7	Connectors
130	EOTU502	-0.556449589	0.777777778	5	Connectors
131	EOTU504	-0.866025404	1	6	Connectors
132	EOTU507	-0.210558722	0.75	4	Connectors
133	EOTU509	2.598076211	0.527777778	6	Module hubs
134	EOTU511	-1.08039438	1	1	Connectors
135	EOTU52	-1.074959434	0.75	5	Connectors
136	EOTU534	0	1	17	Connectors
137	EOTU539	-0.978178238	0.75	2	Connectors
138	EOTU55	-1.08039438	1	1	Connectors
139	EOTU573	-0.40348881	0.65	1	Connectors
140	EOTU592	0.4805701	0.632653061	5	Connectors
141	EOTU596	-0.660930746	0.703125	3	Connectors
142	EOTU601	-0.761750691	0.714285714	3	Connectors
143	EOTU619	1.154700538	0.75	10	Connectors
144	EOTU626	-1.08039438	1	1	Connectors
145	EOTU629	0	1	13	Connectors
146	EOTU631	-1.08039438	1	1	Connectors
147	EOTU635	-0.947514249	1	4	Connectors
148	EOTU646	-0.132726582	0.644970414	1	Connectors
149	EOTU649	-0.945013266	0.75	1	Connectors
150	EOTU65	-0.037939745	0.68	5	Connectors
151	EOTU653	-1.08039438	1	1	Connectors
152	EOTU68	0	1	16	Connectors
153	EOTU682	-0.809632152	0.6875	1	Connectors
154	EOTU698	-1.046556759	1	2	Connectors
155	EOTU704	-0.268107696	0.673611111	1	Connectors
156	EOTU719	1.517589789	0.75390625	5	Connectors
157	EOTU724	-0.978178238	0.75	2	Connectors
158	EOTU732	0	1	17	Connectors
159	EOTU737	-1.074959434	0.75	5	Connectors
160	EOTU75	0	0.75	7	Connectors
161	EOTU791	0.526396805	0.6875	4	Connectors
162	EOTU793	-0.809632152	0.76	1	Connectors
163	EOTU805	0	1	14	Connectors
164	EOTU821	-0.037939745	0.68	5	Connectors
165	EOTU896	-1.08039438	1	1	Connectors
166	EOTU916	0	1	16	Connectors
167	EOTU92	-1.074959434	0.777777778	5	Connectors
168	EOTU983	-1.064210524	1	3	Connectors
169	EOTU989	-0.945013266	0.75	1	Connectors
170	EOTU992	0	0.75	7	Connectors
171	EOTU995	-1.08039438	1	1	Connectors
172	POTU100	-0.499528588	0.750566893	2	Connectors
173	POTU1004	-0.556449589	0.805555556	5	Connectors
174	POTU1008	0.544178987	0.651577503	1	Connectors
175	POTU1017	-1.046556759	1	2	Connectors
176	POTU1018	-1.064210524	0.75	3	Connectors
177	POTU1019	-0.674251038	0.638888889	1	Connectors
178	POTU1022	0.526396805	0.6875	4	Connectors
179	POTU1029	-0.963390579	0.6875	3	Connectors
180	POTU1046	1	0.68	8	Connectors
181	POTU1050	-0.773042673	0.632653061	2	Connectors
182	POTU1062	2.645883397	0.131688466	2	Module hubs
183	POTU1064	-0.577350269	0.75	10	Connectors
184	POTU1133	-0.636285631	0.668639053	2	Connectors
185	POTU1142	0.273416759	0.642561983	1	Connectors
186	POTU1146	-1.064210524	0.75	3	Connectors
187	POTU1151	-0.862570635	0.6875	3	Connectors
188	POTU1153	-0.945013266	0.75	1	Connectors
189	POTU1154	-0.945013266	0.75	1	Connectors
190	POTU1159	-1.046556759	1	2	Connectors
191	POTU116	-1.08039438	1	1	Connectors
192	POTU1163	-0.674251038	0.638888889	1	Connectors
193	POTU1188	-0.909799716	0.68	2	Connectors
194	POTU1199	0	0.6875	7	Connectors
195	POTU1207	-1.08039438	1	1	Connectors
196	POTU1210	-1.046556759	1	2	Connectors
197	POTU1212	1.154700538	0.777777778	12	Connectors
198	POTU1219	-0.210558722	0.777777778	4	Connectors
199	POTU1234	-0.210558722	0.8125	4	Connectors
200	POTU1243	-1.08039438	1	1	Connectors
201	POTU1245	2.577504876	0.132656202	2	Module hubs
202	POTU1274	-1.046556759	1	2	Connectors
203	POTU1279	-0.704664152	0.65	2	Connectors
204	POTU130	-0.577350269	1	10	Connectors
205	POTU1308	-1.046556759	1	2	Connectors
206	POTU133	0.526396805	0.785123967	4	Connectors
207	POTU1360	-0.560110802	0.6875	3	Connectors
208	POTU1388	0	0.75	7	Connectors
209	POTU1398	0	0.75	7	Connectors
210	POTU1413	0	1	14	Connectors
211	POTU1419	-0.773042673	0.679012346	2	Connectors
212	POTU1432	-0.862570635	0.76	3	Connectors
213	POTU1436	1	0.714285714	8	Connectors
214	POTU1452	-1.046556759	1	2	Connectors
215	POTU1459	-0.806225775	1	7	Connectors
216	POTU165	0	0.6875	9	Connectors
217	POTU219	-0.210558722	0.75	4	Connectors
218	POTU244	1	0.6875	9	Connectors
219	POTU258	-1.064210524	1	3	Connectors
220	POTU270	-0.806225775	0.75	7	Connectors
221	POTU274	-1.08039438	1	1	Connectors
222	POTU294	-0.945013266	0.777777778	1	Connectors
223	POTU312	-0.556449589	0.8125	5	Connectors
224	POTU314	-1.08039438	1	1	Connectors
225	POTU365	-0.761750691	0.632653061	3	Connectors
226	POTU440	-0.089257459	0.6875	2	Connectors
227	POTU444	0.145628808	0.676035503	3	Connectors
228	POTU446	-1.074959434	0.6875	5	Connectors
229	POTU464	-1.046556759	1	2	Connectors
230	POTU479	-0.947514249	0.777777778	4	Connectors
231	POTU508	-0.761750691	0.77	3	Connectors
232	POTU517	-0.556449589	0.73	5	Connectors
233	POTU559	0	0.75	8	Connectors
234	POTU561	-0.978178238	0.777777778	2	Connectors
235	POTU563	0	0.75	6	Connectors
236	POTU604	-0.862570635	0.638888889	3	Connectors
237	POTU605	-0.806225775	1	7	Connectors
238	POTU639	-1	1	8	Connectors
239	POTU673	-0.866025404	1	6	Connectors
240	POTU732	0.002654532	0.713541667	1	Connectors
241	POTU752	0.999079945	0.671875	5	Connectors
242	POTU761	2.714261918	0.068636504	2	Module hubs
243	POTU782	-1.064210524	1	3	Connectors
244	POTU794	-0.809632152	0.68	1	Connectors
245	POTU803	-0.809632152	0.68	1	Connectors
246	POTU813	-0.866025404	1	6	Connectors
247	POTU821	-0.945013266	0.777777778	1	Connectors
248	POTU832	0.526396805	0.75	4	Connectors
249	POTU872	-0.909799716	0.6875	2	Connectors
250	POTU880	-0.963390579	0.75	3	Connectors
251	POTU929	-0.909799716	0.6875	2	Connectors
252	POTU931	-0.210558722	0.777777778	4	Connectors
253	POTU936	1.263352331	0.638888889	4	Connectors
254	POTU943	2.000307858	0.632653061	4	Connectors
255	POTU947	-1.064210524	0.75	3	Connectors
256	POTU959	0.544178987	0.625739645	1	Connectors
257	POTU964	2.737263385	0.62962963	4	Network hubs
258	POTU974	-1	1	8	Connectors
259	POTU975	0.866025404	0.76	6	Connectors
260	POTU978	0	1	15	Connectors
