group	mean
A	0.997019499
A	0.992924791
A	0.990779944
A	0.985543175
A	0.983481894
A	0.976128134
A	0.975013928
A	0.970947075
A	0.96908078
A	0.963175487
A	0.960501393
A	0.956824513
A	0.953203343
A	0.949777159
A	0.948635097
A	0.943537604
A	0.937548747
A	0.936295265
A	0.932729805
A	0.928746518
A	0.925181058
A	0.915849582
A	0.917994429
A	0.914345404
A	0.912144847
A	0.908356546
A	0.906545961
A	0.903481894
A	0.90367688
A	0.894707521
A	0.89189415
A	0.888022284
A	0.882674095
A	0.88005571
A	0.884707521
A	0.876044568
A	0.872590529
A	0.869749304
A	0.867409471
A	0.864206128
A	0.859359331
A	0.857743733
A	0.856295265
A	0.852618384
A	0.847103064
A	0.84189415
A	0.847715877
A	0.839777159
A	0.839498607
A	0.836685237
A	0.830194986
A	0.824066852
A	0.825571031
A	0.815153203
A	0.821281337
A	0.812061281
A	0.810584958
A	0.808328691
A	0.809554318
A	0.804623955
A	0.801114206
A	0.799387187
A	0.795543175
A	0.793899721
A	0.792367688
A	0.79
A	0.786852368
A	0.78086351
A	0.778774373
A	0.780696379
A	0.773008357
A	0.771030641
A	0.766935933
A	0.76183844
A	0.76005571
A	0.760111421
A	0.758635097
A	0.756796657
A	0.754178273
A	0.749192201
A	0.745626741
A	0.748662953
A	0.744818942
A	0.739470752
A	0.738245125
A	0.737214485
A	0.733732591
A	0.731309192
A	0.726713092
A	0.725793872
A	0.723342618
A	0.720417827
A	0.719526462
A	0.715654596
A	0.715598886
A	0.710668524
A	0.710752089
A	0.707576602
A	0.70454039
A	0.702869081
A	0.701058496
A	0.699220056
A	0.696183844
A	0.694651811
A	0.692423398
A	0.691169916
A	0.688189415
A	0.685961003
A	0.683899721
A	0.682033426
A	0.680222841
A	0.677771588
A	0.676601671
A	0.673927577
A	0.672033426
A	0.670278552
A	0.66816156
A	0.666573816
A	0.664456825
A	0.662952646
B	0.998112875
B	0.996137566
B	0.994144621
B	0.991922399
B	0.99015873
B	0.988201058
B	0.98627866
B	0.984391534
B	0.982045855
B	0.980176367
B	0.978148148
B	0.976737213
B	0.974603175
B	0.972786596
B	0.970828924
B	0.967671958
B	0.965873016
B	0.964497354
B	0.962821869
B	0.96015873
B	0.958553792
B	0.955873016
B	0.954585538
B	0.95319224
B	0.950899471
B	0.948500882
B	0.947477954
B	0.944691358
B	0.943633157
B	0.94047619
B	0.938800705
B	0.937142857
B	0.934708995
B	0.9329806
B	0.931269841
B	0.929753086
B	0.92680776
B	0.925396825
B	0.923121693
B	0.921305115
B	0.92
B	0.917971781
B	0.916208113
B	0.913880071
B	0.911781305
B	0.910723104
B	0.907407407
B	0.905608466
B	0.904320988
B	0.901481481
B	0.900405644
B	0.899118166
B	0.895767196
B	0.894973545
B	0.893280423
B	0.890776014
B	0.889029982
B	0.887107584
B	0.884708995
B	0.88292769
B	0.881410935
B	0.879241623
B	0.877548501
B	0.876119929
B	0.872768959
B	0.871375661
B	0.868783069
B	0.866684303
B	0.865978836
B	0.864003527
B	0.863544974
B	0.85968254
B	0.857583774
B	0.857178131
B	0.854426808
B	0.852751323
B	0.851516755
B	0.848553792
B	0.847089947
B	0.845696649
B	0.843121693
B	0.841128748
B	0.839171076
B	0.836948854
B	0.836631393
B	0.834197531
B	0.831869489
B	0.829700176
B	0.828395062
B	0.826772487
B	0.825149912
B	0.822751323
B	0.821322751
B	0.818730159
B	0.817442681
B	0.815573192
B	0.8135097
B	0.810934744
B	0.810405644
B	0.807425044
B	0.805749559
B	0.802998236
B	0.802786596
B	0.800529101
B	0.798536155
B	0.796719577
B	0.795291005
B	0.793368607
B	0.791252205
B	0.789541446
B	0.788095238
B	0.785608466
B	0.783985891
B	0.782134039
B	0.77973545
B	0.778677249
B	0.776666667
B	0.773880071
B	0.772416226
B	0.771340388
B	0.768553792
B	0.76664903
B	0.766014109
B	0.76313933
B	0.761569665
B	0.759541446
B	0.758095238
B	0.754973545
B	0.754638448
B	0.752363316
B	0.750617284
B	0.749100529
B	0.745943563
B	0.744638448
B	0.743174603
B	0.741058201
B	0.740229277
B	0.737742504
B	0.734779541
B	0.734320988
B	0.732328042
B	0.731358025
B	0.728606702
B	0.727530864
B	0.726631393
B	0.72335097
B	0.721040564
B	0.720493827
B	0.717989418
B	0.716719577
B	0.715326279
B	0.712627866
B	0.710017637
B	0.709329806
B	0.70638448
B	0.705961199
B	0.70345679
B	0.701569665
B	0.699506173
B	0.698941799
B	0.695802469
B	0.695185185
B	0.692751323
B	0.690335097
B	0.688500882
B	0.688659612
B	0.685643739
B	0.684109347
B	0.681798942
B	0.680246914
B	0.679611993
B	0.677830688
B	0.675643739
B	0.673791887
B	0.671834215
B	0.670740741
B	0.668677249
B	0.667195767
B	0.665149912
B	0.663051146
B	0.661410935
B	0.659400353
B	0.657583774
B	0.654761905
B	0.655749559
B	0.652045855
B	0.650352734
B	0.649329806
B	0.647319224
B	0.645767196
B	0.644021164
B	0.642204586
B	0.640529101
B	0.639559083
B	0.636190476
B	0.635643739
B	0.633174603
B	0.632204586
B	0.63031746
B	0.628377425
B	0.628024691
B	0.625608466
B	0.62335097
B	0.620917108
B	0.620335097
B	0.618465608
B	0.615855379
B	0.615273369
B	0.613544974
B	0.610652557
B	0.609929453
B	0.608130511
B	0.606719577
B	0.605132275
B	0.601798942
B	0.601481481
B	0.599171076
B	0.598342152
B	0.59686067
B	0.594179894
B	0.592839506
B	0.590899471
B	0.589647266
B	0.587636684
B	0.585238095
B	0.584126984
B	0.581975309
B	0.580776014
B	0.57984127
B	0.578253968
B	0.575132275
B	0.574144621
B	0.573209877
B	0.571340388
B	0.568641975
B	0.567671958
B	0.565820106
B	0.563897707
B	0.562134039
B	0.560864198
B	0.559100529
B	0.556790123
B	0.555661376
B	0.554497354
B	0.552504409
B	0.551005291
B	0.548888889
B	0.548024691
B	0.545731922
B	0.544814815
B	0.542998236
B	0.541111111
B	0.539647266
B	0.537619048
B	0.53638448
B	0.534603175
B	0.532645503
B	0.531728395
B	0.529223986
B	0.528377425
B	0.527283951
B	0.524938272
B	0.523492063
