Cruise	Station	mon/day/yr	hh:mm (GMT)	Lat	Lon	SSTA	Ocean current velocity (m/s)	Depth (m)	Bottom£¨m£©	Salinity	Temperature	DO	PO4	SiO3	NO2	NO3	NH4
DFH2	S0701	2015/11/15	1:20	36.0013	146.0001	-3.1	0.79	4.1 	5655	34.636 	22.149 	437.33	0.17	2.90	0.21	0.25	0.65
DFH2	S0702	2015/11/14	9:40	35.67303333	146.0067833	-2.1	0.84	5.7 	5985	34.709 	23.073 	428.98	0.12	2.30	0.20	0.27	0.27
DFH2	S0703	2015/11/13	21:14	34.94978333	145.9895833	-0.7	1.1	6.5 	4765	34.722 	23.042 	434.43	0.15	2.10	0.10	0.20	0.79
DFH2	S0704	2015/11/13	14:05	33.32985	146.00805	0.4	0.13	7.6 	5721	34.736 	23.592 	431.02	0.25	1.70	0.33	0.25	0.93
DFH2	S0705	2015/11/16	18:54	31.99483333	145.9760167	0.2	0.21	5.1 	6000	34.699 	24.108 	438.92	0.16	1.70	0.06	0.68	0.34
DFH2	S0706	2015/11/17	3:42	31.00483333	145.9887833	0.2	0.28	4.8 	6088	34.565 	23.554 	439.58	0.09	1.90	0.05	0.13	0.56
DFH2	S0707	2015/11/17	11:16	29.99971667	145.99995	0.4	0.15	5.1 	6107	34.939 	25.471 	424.10	0.04	1.40	0.03	0.11	0.32
DFH2	S0708	2015/11/17	1:54	29.68891667	145.99365	0.4	0.06	4.8 	5928	34.818 	24.750 	429.68	0.09	1.60	0.04	0.38	0.22
DFH2	S0709	2015/11/18	11:17	27.99643333	145.9889167	0.5	0.12	8.3 	4891	34.956 	25.729 	423.32	0.05	1.40	0.03	0.46	0.20
DFH2	S0710	2015/11/18	0:43	27.01113333	145.9681833	0.2	0.1	5.9 	5425	34.626 	25.450 	425.17	0.06	1.35	0.04	0.18	0.41
DFH2	S0711	2015/11/19	10:47	26.01113333	145.9832167	0	0.12	76.2 	4924	34.906 	21.963 	422.14	0.14	1.25	0.02	0.51	0.47
DFH2	S0712	2015/11/20	5:19	25.0269	145.9773833	0.2	0.21	5.5 	5664	34.942 	26.521 	418.56	0.09	1.15	0.03	0.56	0.27
DFH2	S0713	2015/11/20	20:40	24.00996667	145.9595333	0.1	0.23	4.6 	5742	34.053 	27.038 	415.97	0.17	0.90	0.27	0.68	0.27
DFH2	S0714	2015/11/21	6:15	22.99288333	145.9307333	-0.1	0.22	5.6 	6088	35.091 	27.544 	411.71	0.08	1.20	0.07	0.33	0.49
DFH2	S0715	2015/11/28	4:55	21.98315	143.0088	-0.2	0.23	7.4 	3903	34.970 	27.646 	408.38	0.06	0.90	0.03	0.47	0.54
DFH2	S0716	2015/11/27	17:20	20.94331667	142.98035	0.2	0.17	5.2 	3836	34.949 	28.403 	402.96	0.11	0.70	0.04	0.43	0.57
DFH2	S0717	2015/11/26	23:41	20.0229	143.0213833	0.4	0.18	5.2 	2523	34.918 	28.370 	401.57	0.11	0.95	0.04	0.15	0.38
DFH2	S0718	2015/11/25	22:10	18.00063333	142.9681	0.1	0.27	6.2 	1820	34.589 	28.388 	401.42	0.08	0.85	0.04	0.10	0.84
DFH2	S0719	2015/11/25	9:34	17.0126	142.9556	0.1	0.43	6.1 	2932	34.840 	28.243 	401.72	0.08	0.80	0.04	0.16	0.40
DFH2	S0720	2015/11/24	0:17	15.99723333	142.9833333	-0.2	0.14	6.8	2887	34.777 	28.305 	400.07	0.14	1.00	0.05	0.30	0.35
DFH2	S0721	2015/11/24	10:29	15.01778333	142.9733667	-0.6	0.18	5.7	2336	34.508 	28.559 	400.38	0.10	1.10	0.05	0.45	0.54
DFH2	S0722	2015/11/23	23:54	14.02781667	142.9530333	-0.6	0.07	5.7	4336	34.608 	28.496 	400.70	0.12	1.15	0.06	0.30	0.76
DFH2	S0723	2016/1/2	20:41	10.92708333	143.0214333	-0.3	0.17	5.5	6010	34.303 	28.126 	405.46	0.09	1.26	0.05	0.27	0.37
DFH2	S0724	2016/1/2	12:14	9.987983333	142.9966833	-0.3	0.26	5.1	4751	34.450 	28.357 	402.66	0.08	1.46	0.05	0.17	0.65
DFH2	S0725	2016/1/2	3:55	9.66275	142.97535	-0.3	0.25	5.6	3110	34.168 	28.241 	402.59	0.06	1.80	0.03	0.10	0.48
DFH2	S0726	2016/1/1	19:08	8.985866667	142.9730333	-0.3	0.29	4.9	2149	34.444 	28.498 	401.17	0.08	1.31	0.03	0.16	0.61
DFH2	S0727	2016/1/1	11:26	6.988783333	142.978	-0.6	0.43	4.9	2953	34.428 	28.692 	401.11	0.12	1.41	0.02	0.25	1.25
DFH2	S0728	2016/1/1	1:40	5.979716667	143.0047	-0.5	0.6	5.7	2575	34.784 	28.548 	402.89	0.09	1.17	0.04	0.13	0.62
DFH2	S0729	2015/12/31	18:23	5.017683333	143.0261333	-0.2	0.68	4.7	2990	34.848 	29.213 	397.98	0.17	1.17	0.03	0.14	0.74
DFH2	S0730	2015/12/31	9:59	4.05815	143.0077667	-0.2	0.57	3	3561	34.529 	29.169 	395.28	0.14	1.12	0.03	0.28	0.83
DFH2	S0731	2015/12/30	0:41	3.011966667	142.9995	-0.1	0.59	3	4049	34.767 	29.294 	396.39	0.09	1.02	0.03	0.14	0.47
DFH2	S0732	2015/12/31	16:09	2.042966667	142.99445	0	0.32	4.8	3850	34.762 	29.622 	396.28	0.19	1.07	0.02	0.21	0.65
